City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Timra,SE,2022-07-07 01:27:22,62.487,17.3257,57.67,67,100,6.91
68,Cape Town,ZA,2022-07-07 01:19:12,-33.9258,18.4232,53.11,81,40,3.44
69,Khatanga,RU,2022-07-07 01:27:22,71.9667,102.5,44.19,88,100,15.39
70,Chivay,PE,2022-07-07 01:27:22,-15.6383,-71.6011,46.49,39,64,5.12
71,Evensk,RU,2022-07-07 01:27:23,61.95,159.2333,50.04,95,100,10.04
72,Limbuhan,PH,2022-07-07 01:27:23,11.8838,124.0501,83.93,74,30,8.81
73,Mayskiy,RU,2022-07-07 01:27:23,47.6931,40.1025,69.21,44,0,7.4
74,Oneonta,US,2022-07-07 01:27:24,42.4529,-75.0638,67.3,87,3,3.56
75,Kapaa,US,2022-07-07 01:20:13,22.0752,-159.319,82.72,74,20,12.66
76,Punta Arenas,CL,2022-07-07 01:27:24,-53.15,-70.9167,28.51,86,0,8.05
77,Jamestown,US,2022-07-07 01:21:21,42.097,-79.2353,69.39,81,0,9.22
78,Alofi,NU,2022-07-07 01:25:01,-19.0595,-169.9187,78.69,61,75,16.11
79,La Ronge,CA,2022-07-07 01:27:24,55.1001,-105.2842,70.02,40,20,8.05
80,Lompoc,US,2022-07-07 01:20:07,34.6391,-120.4579,77.68,71,0,21.0
81,Butaritari,KI,2022-07-07 01:23:43,3.0707,172.7902,82.54,76,98,21.61
82,Mendi,PG,2022-07-07 01:27:25,-6.1761,143.6513,63.84,83,100,2.26
83,Yining,CN,2022-07-07 01:27:25,29.0361,114.5636,82.02,89,38,1.1
84,Marystown,CA,2022-07-07 01:27:25,47.1666,-55.1483,58.86,100,100,16.33
85,Saint-Philippe,RE,2022-07-07 01:27:25,-21.3585,55.7679,67.21,73,57,10.58
86,Kukushtan,RU,2022-07-07 01:27:26,57.6464,56.4952,55.02,96,5,2.75
87,Rawson,AR,2022-07-07 01:27:26,-43.3002,-65.1023,44.71,56,98,26.96
88,Arraial Do Cabo,BR,2022-07-07 01:23:48,-22.9661,-42.0278,70.23,86,0,23.96
89,Chumikan,RU,2022-07-07 01:27:26,54.7183,135.315,73.06,68,27,8.08
90,Arkhangelsk,RU,2022-07-07 01:27:19,64.5401,40.5433,59.11,82,40,4.47
91,San Patricio,US,2022-07-07 01:27:27,28.017,-97.5169,87.89,64,2,14.54
92,Ekibastuz,KZ,2022-07-07 01:27:27,51.6667,75.3667,64.87,55,30,10.02
93,Hermanus,ZA,2022-07-07 01:20:06,-34.4187,19.2345,52.63,73,11,7.99
94,Hobart,AU,2022-07-07 01:15:29,-42.8794,147.3294,54.23,72,5,3.0
95,Guerrero Negro,MX,2022-07-07 01:23:47,27.9769,-114.0611,70.41,75,0,18.21
96,Iqaluit,CA,2022-07-07 01:28:27,63.7506,-68.5145,38.93,86,75,4.61
97,Pisco,PE,2022-07-07 01:21:22,-13.7,-76.2167,60.85,82,2,4.61
98,Wagar,SD,2022-07-07 01:28:28,16.1525,36.2032,86.45,48,100,13.78
99,Kiama,AU,2022-07-07 01:28:28,-34.6833,150.8667,62.01,83,97,5.01
100,Ponot,PH,2022-07-07 01:28:28,8.452,123.0222,83.61,72,100,4.05
101,Fare,PF,2022-07-07 01:28:29,-16.7,-151.0167,79.12,67,0,8.05
102,Bubaque,GW,2022-07-07 01:28:29,11.2833,-15.8333,80.64,79,10,11.83
103,Dingle,PH,2022-07-07 01:28:29,10.9995,122.6711,82.18,80,95,3.09
104,Grand Gaube,MU,2022-07-07 01:24:56,-20.0064,57.6608,70.2,61,82,3.0
105,Atar,MR,2022-07-07 01:20:08,20.5169,-13.0499,96.78,13,95,5.3
106,Labuan,MY,2022-07-07 01:28:29,5.2767,115.2417,82.76,83,20,2.3
107,Port Alfred,ZA,2022-07-07 01:23:49,-33.5906,26.891,59.2,78,0,8.19
108,Bocana De Paiwas,NI,2022-07-07 01:28:30,12.7857,-85.1227,72.61,92,80,4.74
109,Conceicao Da Barra,BR,2022-07-07 01:28:30,-18.5933,-39.7322,70.16,84,0,5.23
110,Hamilton,US,2022-07-07 01:28:30,39.1834,-84.5333,77.04,95,75,5.75
111,Zeya,RU,2022-07-07 01:28:30,53.75,127.2667,67.71,96,100,9.46
112,Pevek,RU,2022-07-07 01:21:28,69.7008,170.3133,33.58,87,37,13.96
113,Pangnirtung,CA,2022-07-07 01:23:48,66.1451,-65.7125,45.39,77,89,3.65
114,Castro,BR,2022-07-07 01:22:37,-24.7911,-50.0119,55.4,71,100,3.51
115,Severo-Kurilsk,RU,2022-07-07 01:28:31,50.6789,156.125,55.08,68,100,10.07
116,Coahuayana,MX,2022-07-07 01:28:31,18.7333,-103.6833,81.79,81,100,2.8
117,Bredasdorp,ZA,2022-07-07 01:20:12,-34.5322,20.0403,46.51,82,24,4.99
118,Lebu,CL,2022-07-07 01:28:31,-37.6167,-73.65,46.9,76,74,4.9
119,Bluff,NZ,2022-07-07 01:22:32,-46.6,168.3333,46.8,74,100,4.36
120,Bowmore,US,2022-07-07 01:28:24,34.9421,-79.3031,91.31,71,100,21.85
121,Bose,IT,2022-07-07 01:28:32,45.4612,8.0137,68.22,64,100,6.51
122,Pipar,IN,2022-07-07 01:28:32,26.3856,73.5378,84.94,71,12,7.58
123,Manta,EC,2022-07-07 01:28:32,-0.95,-80.7333,71.38,83,75,8.05
124,Katangli,RU,2022-07-07 01:28:32,51.7102,143.2326,73.78,64,100,7.92
125,Lavrentiya,RU,2022-07-07 01:28:33,65.5833,-171.0,49.86,84,100,5.64
126,Tautira,PF,2022-07-07 01:28:33,-17.7333,-149.15,77.43,77,2,11.5
127,Te Anau,NZ,2022-07-07 01:28:33,-45.4167,167.7167,40.15,83,100,1.19
128,Salisbury,GB,2022-07-07 01:28:34,51.0693,-1.7957,62.69,86,75,10.36
129,Namibe,AO,2022-07-07 01:20:07,-15.1961,12.1522,65.5,83,0,3.83
130,Kutum,SD,2022-07-07 01:28:34,14.2,24.6667,80.91,40,33,8.03
131,Malanje,AO,2022-07-07 01:28:34,-9.5402,16.341,61.59,38,51,2.24
132,Oranjemund,NA,2022-07-07 01:28:34,-28.55,16.4333,51.19,75,0,3.6
133,Sidi Ali,DZ,2022-07-07 01:28:35,36.0998,0.4206,72.54,90,100,3.76
134,Ixtapa,MX,2022-07-07 01:28:35,20.7,-105.2,83.23,83,75,4.61
135,Adrar,MR,2022-07-07 01:20:10,20.5022,-10.0711,98.67,9,5,9.46
136,Half Moon Bay,US,2022-07-07 01:28:35,37.4636,-122.4286,76.53,72,100,20.71
137,Kavieng,PG,2022-07-07 01:28:35,-2.5744,150.7967,83.16,73,98,9.42
138,Souillac,MU,2022-07-07 01:28:36,-20.5167,57.5167,70.18,60,75,11.5
139,Santa Cecilia,BR,2022-07-07 01:26:03,-26.9608,-50.4269,51.48,83,100,3.49
140,Geraldton,AU,2022-07-07 01:24:52,-28.7667,114.6,55.81,88,0,13.8
141,Dikson,RU,2022-07-07 01:21:25,73.5069,80.5464,33.1,87,13,4.21
142,Medvedovskaya,RU,2022-07-07 01:29:36,45.4531,39.0258,70.02,45,0,9.51
143,Belaya Gora,RU,2022-07-07 01:29:36,68.5333,146.4167,58.46,52,100,13.96
144,Alice Springs,AU,2022-07-07 01:26:19,-23.7,133.8833,53.15,35,0,10.36
145,Paveh,IR,2022-07-07 01:29:37,35.0434,46.3565,66.29,43,0,6.62
146,Shahr-E Babak,IR,2022-07-07 01:29:37,30.1165,55.1186,73.11,25,4,6.2
147,Macapa,BR,2022-07-07 01:24:47,0.0389,-51.0664,78.78,89,0,5.75
148,Tilichiki,RU,2022-07-07 01:29:37,60.4667,166.1,51.87,92,100,4.65
149,Gilgit,PK,2022-07-07 01:29:38,35.9221,74.3087,82.09,62,57,2.95
150,Tikapur,NP,2022-07-07 01:29:38,28.5,81.1333,86.45,68,75,3.13
151,Kabalo,CD,2022-07-07 01:29:38,-6.05,26.9167,69.01,41,5,4.03
152,Karratha,AU,2022-07-07 01:29:38,-20.7377,116.8463,63.43,21,5,17.18
153,Calama,CL,2022-07-07 01:29:39,-22.4667,-68.9333,57.69,6,100,11.5
154,Wabag,PG,2022-07-07 01:29:39,-5.4781,143.7021,63.54,85,100,2.39
155,Baykit,RU,2022-07-07 01:29:39,61.67,96.37,59.09,93,100,2.84
156,Bethel,US,2022-07-07 01:29:39,41.3712,-73.414,76.87,76,0,0.0
157,Carnarvon,AU,2022-07-07 01:23:50,-24.8667,113.6333,63.77,28,0,11.12
158,Cabo San Lucas,MX,2022-07-07 01:21:24,22.8909,-109.9124,97.9,29,0,11.5
159,Malinovoye Ozero,RU,2022-07-07 01:29:40,51.6753,79.7825,66.04,48,47,2.53
160,Marsh Harbour,BS,2022-07-07 01:29:40,26.5412,-77.0636,82.13,72,42,11.48
161,Ilulissat,GL,2022-07-07 01:27:09,69.2167,-51.1,41.02,93,75,4.61
162,Balykshi,KZ,2022-07-07 01:29:40,47.0667,51.8667,59.0,67,0,0.0
163,Cocorit,MX,2022-07-07 01:29:41,27.5833,-109.9667,91.74,44,12,13.11
164,Shubarshi,KZ,2022-07-07 01:29:41,48.5872,57.1869,58.59,76,65,7.54
165,Belmonte,BR,2022-07-07 01:29:41,-15.8631,-38.8828,71.76,84,58,7.83
166,Oistins,BB,2022-07-07 01:29:41,13.0667,-59.5333,80.69,78,40,18.41
167,Saint George,US,2022-07-07 01:28:00,37.1041,-113.5841,99.63,11,0,14.97
168,Port Elizabeth,ZA,2022-07-07 01:20:16,-33.918,25.5701,48.49,93,0,4.61
169,Codrington,AU,2022-07-07 01:23:40,-38.2667,141.9667,54.55,62,58,16.82
170,Gander,CA,2022-07-07 01:25:14,48.9682,-54.5906,57.33,100,100,8.05
171,San Quintin,MX,2022-07-07 01:24:53,30.4833,-115.95,69.15,78,27,16.55
172,Barzas,RU,2022-07-07 01:29:42,55.7167,86.3167,58.73,97,100,3.91
173,Luanda,AO,2022-07-07 01:29:42,-8.8368,13.2343,71.6,78,75,5.75
174,Verkhoyansk,RU,2022-07-07 01:29:43,67.5447,133.385,52.23,84,100,2.89
175,Richards Bay,ZA,2022-07-07 01:29:43,-28.783,32.0377,61.63,90,0,3.4
176,Sao Filipe,CV,2022-07-07 01:20:12,14.8961,-24.4956,74.97,85,90,9.71
177,Nanakuli,US,2022-07-07 01:29:43,21.3906,-158.1547,84.15,61,100,9.22
178,Sabang,ID,2022-07-07 01:29:44,5.8933,95.3214,82.62,74,95,6.76
179,Ciudad Bolivar,VE,2022-07-07 01:29:44,8.1222,-63.5497,80.13,71,61,10.4
180,Avarua,CK,2022-07-07 01:21:20,-21.2078,-159.775,75.25,57,59,6.91
181,Nanortalik,GL,2022-07-07 01:22:32,60.1432,-45.2371,44.58,93,100,10.11
182,Shingu,JP,2022-07-07 01:25:56,33.7333,135.9833,80.35,77,63,5.32
183,Miri,MY,2022-07-07 01:29:44,4.4148,114.0089,84.34,79,20,6.91
184,Khorramshahr,IR,2022-07-07 01:29:44,30.4397,48.1664,91.36,18,0,9.22
185,Sitka,US,2022-07-07 01:22:33,57.0531,-135.33,58.89,82,100,4.61
186,Estelle,US,2022-07-07 01:29:45,29.8458,-90.1067,84.2,75,75,1.01
187,Faya,SA,2022-07-07 01:29:45,18.3851,42.4509,66.31,28,99,1.79
188,Aswan,EG,2022-07-07 01:29:45,24.0934,32.907,87.4,21,8,8.95
189,Oxford,GB,2022-07-07 01:28:08,51.7522,-1.256,64.26,80,100,6.91
190,Cibitoke,BI,2022-07-07 01:30:46,-2.8833,29.25,57.96,83,9,3.67
191,Tezu,IN,2022-07-07 01:30:46,27.9167,96.1667,83.75,87,59,0.34
192,Amparafaravola,MG,2022-07-07 01:30:46,-17.5833,48.2167,57.63,90,99,6.69
193,Esperance,AU,2022-07-07 01:30:46,-33.8667,121.9,56.91,81,86,14.14
194,Coos Bay,US,2022-07-07 01:26:34,43.3665,-124.2179,66.31,89,100,10.36
195,Ngunguru,NZ,2022-07-07 01:30:47,-35.6167,174.5,59.61,91,100,19.39
196,Warrington,GB,2022-07-07 01:30:47,53.3925,-2.5802,59.86,86,100,13.8
197,Lorengau,PG,2022-07-07 01:30:47,-2.0226,147.2712,83.66,75,100,9.95
198,Slave Lake,CA,2022-07-07 01:30:19,55.2834,-114.769,66.18,59,75,12.66
199,Salalah,OM,2022-07-07 01:28:21,17.0151,54.0924,77.09,100,100,3.44
200,Victoria,HK,2022-07-07 01:22:35,22.2855,114.1577,89.19,86,96,8.99
201,Norman Wells,CA,2022-07-07 01:30:48,65.282,-126.8329,86.04,28,40,8.05
202,Kodiak,US,2022-07-07 01:21:22,57.79,-152.4072,58.51,82,100,10.36
203,Takaka,NZ,2022-07-07 01:30:48,-40.85,172.8,53.56,77,100,2.71
204,Tarazona,ES,2022-07-07 01:30:48,41.9,-1.7333,60.62,53,78,13.73
205,Sorland,NO,2022-07-07 01:22:36,67.667,12.6934,49.86,74,100,12.41
206,Campana,AR,2022-07-07 01:30:49,-34.1687,-58.9591,57.02,98,88,5.37
