City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Tres Arroyos,AR,53.22,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
81,Qaanaaq,GL,43.77,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
82,Yibin,CN,81.32,broken clouds,28.7667,104.6238,Handsome Guesthouse
83,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
85,Sedro-Woolley,US,74.98,scattered clouds,48.5039,-122.2361,Natural Resources Department
86,Husavik,IS,54.01,overcast clouds,66.0449,-17.3389,Bjarnabúð
87,Ambilobe,MG,64.9,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
88,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Lompoc,US,75.85,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
90,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
92,Montepuez,MZ,60.64,few clouds,-13.1256,38.9997,PembaAparthotel
95,Nikolskoye,RU,60.69,few clouds,59.7035,30.7861,Tourist House - Sablino
96,Manaus,BR,90.1,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
97,Magistralnyy,RU,54.52,scattered clouds,56.1725,107.4458,Магистраль
98,Atambua,ID,69.04,broken clouds,-9.1061,124.8925,Kost Alfa Flat
99,Xiuyan,CN,67.46,broken clouds,40.2928,123.2744,Helin Holiday Hotel
100,Bethel,US,83.34,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
101,Serra Talhada,BR,75.29,overcast clouds,-7.9919,-38.2983,Pousada São Luiz
104,Kutum,SD,86.95,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
105,Hede,CN,78.78,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
106,Carnarvon,AU,59.41,clear sky,-24.8667,113.6333,Hospitality Carnarvon
107,Barrow,US,60.82,few clouds,71.2906,-156.7887,King Eider Inn
108,Launceston,AU,46.04,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
109,Iguape,BR,66.79,scattered clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
111,Maxixe,MZ,66.49,clear sky,-23.8597,35.3472,Oceano
113,Yining,CN,79.09,broken clouds,29.0361,114.5636,Xiushui Hotel
115,Lebu,CL,49.66,clear sky,-37.6167,-73.65,Hostal Las Lilas
116,Sur,OM,83.1,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
118,Ilinskiy,RU,64.78,clear sky,55.619,38.1182,Around the world
119,Balkanabat,TM,88.65,clear sky,39.5108,54.3671,Nebitchi Hotel
120,Port Alfred,ZA,59.2,light rain,-33.5906,26.891,The Halyards Hotel
121,Salalah,OM,77.02,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
122,Sargatskoye,RU,67.32,broken clouds,55.6101,73.4972,Kvartira Posutochno V Sargatke
123,Kisangani,CD,73.67,broken clouds,0.5167,25.2,Grand Ramela Hotel
124,Amahai,ID,76.75,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
126,Mount Isa,AU,42.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
127,Puerto Del Rosario,ES,87.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
128,Williams Lake,CA,71.06,overcast clouds,52.1415,-122.1445,Stampeder Motel
129,Sirjan,IR,83.37,overcast clouds,29.452,55.6814,MAPNA Building
130,Arcata,US,73.2,mist,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
131,Margate,GB,67.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
133,Tautira,PF,77.68,light rain,-17.7333,-149.15,Pension Oaoa
134,Fortuna,US,72.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
135,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
136,Portland,US,80.15,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
137,Namatanai,PG,79.43,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
138,Tasiilaq,GL,40.06,scattered clouds,65.6145,-37.6368,The Red House
139,Sumbe,AO,68.0,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
140,Talnakh,RU,47.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
142,Pevek,RU,32.85,overcast clouds,69.7008,170.3133,Severnoye Zoloto
143,Hovd,MN,57.54,moderate rain,48.0056,91.6419,Hotel Khovd
144,Rafaela,AR,64.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
145,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Hotel San Juan
146,Dudinka,RU,47.62,scattered clouds,69.4058,86.1778,Hotel Viktoria
147,Hirara,JP,84.61,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
148,Kloulklubed,PW,83.68,broken clouds,7.0419,134.2556,Storyboard Beach Resort
149,Hami,CN,81.54,overcast clouds,42.8,93.45,Laoyutang Resort
150,Sumenep,ID,78.3,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
152,Dvinskoy,RU,61.72,light rain,62.1535,45.1175,Gostinitsa Dvinskaya
153,Bosaso,SO,89.2,light rain,11.2842,49.1816,Red Sea Hotel
154,Geraldton,AU,46.81,few clouds,-28.7667,114.6,Broadwater Mariner Resort
155,Kaitangata,NZ,38.71,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
156,Cabo San Lucas,MX,97.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
157,Clyde River,CA,48.43,overcast clouds,70.4692,-68.5914,Qamaq Hotel
158,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
159,Hambantota,LK,80.26,moderate rain,6.1241,81.1185,Bungalow 63
160,Okha,RU,67.24,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
161,Quelimane,MZ,67.95,clear sky,-17.8786,36.8883,Hotel Flamingo
162,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
163,Jiayuguan,CN,70.05,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
164,Anadyr,RU,48.7,broken clouds,64.75,177.4833,Отке17.ру — жильё для командированных
165,Chabahar,IR,84.2,light rain,25.2919,60.643,هتل گدروشیا
166,Kensington,AU,51.13,light rain,-33.9167,151.2167,Meriton Suites Zetland
167,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
169,Korla,CN,76.82,scattered clouds,41.7597,86.1469,Gulisitan Hotel
170,Hithadhoo,MV,82.36,overcast clouds,-0.6,73.0833,Scoop Guest House
171,Phan Thiet,VN,76.82,light rain,10.9333,108.1,Hotel Saigon-PT
172,Pierre,US,92.86,clear sky,44.3683,-100.351,Ramkota Hotel
173,Palu,ID,77.04,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
174,Vadodara,IN,78.67,moderate rain,22.3,73.2,Grand Mercure Vadodara Surya Palace
175,Bredasdorp,ZA,49.5,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
176,Castro,BR,59.63,clear sky,-24.7911,-50.0119,CHACARA BAILLY
