City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Praia,CV,14.9215,-23.5087,77.54,78,75,10.36,broken clouds
80,Tres Arroyos,AR,-38.3739,-60.2798,53.22,41,91,12.64,overcast clouds
81,Qaanaaq,GL,77.484,-69.3632,43.77,73,100,5.5,overcast clouds
82,Yibin,CN,28.7667,104.6238,81.32,88,54,1.81,broken clouds
83,Galesong,ID,-5.3166,119.3661,75.22,80,96,4.34,overcast clouds
84,Araouane,ML,18.9048,-3.5265,100.51,13,12,1.03,few clouds
85,Sedro-Woolley,US,48.5039,-122.2361,74.98,64,40,4.0,scattered clouds
86,Husavik,IS,66.0449,-17.3389,54.01,91,100,2.44,overcast clouds
87,Ambilobe,MG,-13.2,49.05,64.9,74,6,4.34,clear sky
88,Mahebourg,MU,-20.4081,57.7,70.25,64,40,17.27,scattered clouds
89,Lompoc,US,34.6391,-120.4579,75.85,76,100,13.0,mist
90,Avarua,CK,-21.2078,-159.775,75.25,53,100,5.75,overcast clouds
91,Chara,RU,56.9064,118.2631,54.88,86,100,2.75,overcast clouds
92,Montepuez,MZ,-13.1256,38.9997,60.64,92,11,5.37,few clouds
93,Ostrovnoy,RU,68.0531,39.5131,53.8,78,25,13.33,scattered clouds
94,Saskylakh,RU,71.9167,114.0833,46.69,81,100,11.68,light rain
95,Nikolskoye,RU,59.7035,30.7861,60.69,98,23,3.09,few clouds
96,Manaus,BR,-3.1019,-60.025,90.1,58,40,8.05,scattered clouds
97,Magistralnyy,RU,56.1725,107.4458,54.52,84,26,1.43,scattered clouds
98,Atambua,ID,-9.1061,124.8925,69.04,86,73,6.89,broken clouds
99,Xiuyan,CN,40.2928,123.2744,67.46,92,60,2.24,broken clouds
100,Bethel,US,41.3712,-73.414,83.34,43,0,5.75,clear sky
101,Serra Talhada,BR,-7.9919,-38.2983,75.29,59,100,13.44,overcast clouds
102,Eenhana,NA,-17.4667,16.3333,57.87,38,0,6.4,clear sky
103,Aitape,PG,-3.1374,142.3475,76.42,87,77,5.06,broken clouds
104,Kutum,SD,14.2,24.6667,86.95,19,98,3.13,overcast clouds
105,Hede,CN,33.7681,120.2517,78.78,94,97,4.07,overcast clouds
106,Carnarvon,AU,-24.8667,113.6333,59.41,65,0,17.56,clear sky
107,Barrow,US,71.2906,-156.7887,60.82,63,20,4.61,few clouds
108,Launceston,AU,-41.45,147.1667,46.04,81,100,5.75,overcast clouds
109,Iguape,BR,-24.7081,-47.5553,66.79,84,42,10.27,scattered clouds
110,Nioro,GM,13.35,-15.75,82.33,73,77,10.36,light rain
111,Maxixe,MZ,-23.8597,35.3472,66.49,77,0,9.86,clear sky
112,Raga,SS,8.4596,25.678,69.69,99,100,3.91,heavy intensity rain
113,Yining,CN,29.0361,114.5636,79.09,88,65,2.48,broken clouds
114,Tombouctou,ML,20.0,-3.0,100.11,10,8,6.44,clear sky
115,Lebu,CL,-37.6167,-73.65,49.66,81,4,6.96,clear sky
116,Sur,OM,22.5667,59.5289,83.1,79,100,18.3,overcast clouds
117,Poum,NC,-20.2333,164.0167,77.22,83,1,11.72,clear sky
118,Ilinskiy,RU,55.619,38.1182,64.78,88,0,0.0,clear sky
119,Balkanabat,TM,39.5108,54.3671,88.65,17,0,14.65,clear sky
120,Port Alfred,ZA,-33.5906,26.891,59.2,77,82,18.5,light rain
121,Salalah,OM,17.0151,54.0924,77.02,96,100,10.42,light rain
122,Sargatskoye,RU,55.6101,73.4972,67.32,86,69,3.67,broken clouds
123,Kisangani,CD,0.5167,25.2,73.67,68,77,0.83,broken clouds
124,Amahai,ID,-3.3333,128.9167,76.75,91,97,5.93,overcast clouds
125,Provideniya,RU,64.3833,-173.3,50.36,81,75,11.18,broken clouds
126,Mount Isa,AU,-20.7333,139.5,42.57,65,0,4.61,clear sky
127,Puerto Del Rosario,ES,28.5004,-13.8627,87.55,35,20,13.8,few clouds
128,Williams Lake,CA,52.1415,-122.1445,71.06,42,100,5.75,overcast clouds
129,Sirjan,IR,29.452,55.6814,83.37,46,99,6.31,overcast clouds
130,Arcata,US,40.8665,-124.0828,73.2,77,100,4.61,mist
131,Margate,GB,51.3813,1.3862,67.69,65,56,8.63,broken clouds
132,Olivenca,BR,-9.5186,-37.1906,68.38,93,18,7.99,few clouds
133,Tautira,PF,-17.7333,-149.15,77.68,77,77,18.37,light rain
134,Fortuna,US,40.5982,-124.1573,72.93,71,0,4.0,clear sky
135,Vaini,TO,-21.2,-175.2,75.36,83,40,10.36,scattered clouds
